co_id,name,comment
710m,Kiribati,island sovereign state in the central Pacific Ocean
958m,South Sudan,country in East Africa
963m,Botswana,sovereign state in Southern Africa
711m,Mongolia,country in East Asia
717m,Venezuela,sovereign state in northern South America
965m,Burkina Faso,sovereign state in Africa
750m,Bolivia,sovereign state in South America
967m,Burundi,sovereign state in Africa
983m,Equatorial Guinea,sovereign state in Africa
1006m,Guinea,sovereign state in West Africa
760m,Saint Lucia,island sovereign state in the Caribbean Sea
1008m,Ivory Coast,sovereign state in West Africa
769m,Grenada,island sovereign state in the Caribbean Sea
1009m,Cameroon,sovereign state in West Africa
778m,The Bahamas,island sovereign state in the West Indies
1011m,Cape Verde,sovereign state comprising ten islands off the Western coast of Africa
1013m,Lesotho,sovereign state in southern Africa
783m,Honduras,sovereign state in Central America
1020m,Malawi,sovereign state in Africa
1025m,Mauritania,sovereign state in West Africa and North Africa
784m,Dominica,island sovereign state in the Caribbean Sea
786m,Dominican Republic,island sovereign state in the Caribbean Sea
790m,Haiti,island sovereign state in the Caribbean Sea
1027m,Mauritius,island sovereign state off of Africa in the Indian Ocean
1029m,Mozambique,country in Southeastern Africa
800m,Costa Rica,country in Central America
1036m,Uganda,country in East-central Africa
1030m,Namibia,country in Southern Africa
794m,Iran,country in Western Asia
1037m,Rwanda,sovereign state in Africa
801m,Israel,country in Western Asia
1039m,São Tomé and Príncipe,island sovereign state in Africa
1041m,Senegal,country on the coast of West Africa
804m,Panama,sovereign state in Central America
1045m,Somalia,sovereign state in Africa
805m,Yemen,sovereign state in western Asia
1050m,Eswatini,sovereign state in southern Africa
3359409m,Micronesia,subregion of Oceania
842m,Oman,sovereign state in western Asia
819m,Laos,country in Southeast Asia
846m,Qatar,country in Western Asia
858m,Syria,sovereign state in western Asia
863m,Tajikistan,sovereign state in Central Asia
869m,Thailand,country in Southeast Asia
878m,United Arab Emirates,sovereign state in Southwest Asia
884m,South Korea,country in East Asia
889m,Afghanistan,country in Central and South Asia
902m,Bangladesh,country in South Asia
912m,Mali,country in West Africa
916m,Angola,sovereign state in Africa
929m,Central African Republic,country in Central Africa
945m,Togo,country in West Africa
962m,Benin,sovereign state in West Africa
970m,Comoros,sovereign state situated on an archipelago in the Indian Ocean off the eastern coast of Africa
977m,Djibouti,sovereign state in Africa
986m,Eritrea,country in the Horn of Africa
1000m,Gabon,equatorial country in West Africa
1005m,The Gambia,sovereign state in West Africa
1007m,Guinea-Bissau,sovereign state in Western Africa
1014m,Liberia,sovereign state in West Africa
1016m,Libya,sovereign state in north Africa
1032m,Niger,sovereign state in western Africa
1019m,Madagascar,"island sovereign state off the coast of Southeast Africa, in the Indian Ocean"
1033m,Nigeria,sovereign state in West Africa
1042m,Seychelles,island sovereign state off the eastern coast of Africa
1044m,Sierra Leone,sovereign state in West Africa
1049m,Sudan,country in Northeast Africa
22890m,Ireland,island in the North Atlantic Ocean
