name,cname
Arran Heritage Museum,United Kingdom
Arsenal Football Club Museum,United Kingdom
Arsenal tube station,United Kingdom
Arthington Viaduct,United Kingdom
Arthur Cottage,United Kingdom
Ascot Racecourse,United Kingdom
Ash Museum,United Kingdom
Ashburton Museum,United Kingdom
Ashby-de-la-Zouch Museum,United Kingdom
Ashford International railway station,United Kingdom
Ashford Steam Centre,United Kingdom
Ashkirk,United Kingdom
Ashness Bridge,United Kingdom
Ashwell Museum,United Kingdom
Ashworth Barracks Museum,United Kingdom
Asian Music Museum,United Kingdom
Aston Magna Bygones Museum,United Kingdom
Aston Martin Heritage Trust Museum,United Kingdom
Atcham Bridge,United Kingdom
Athelstan Museum,United Kingdom
Atholl Country Life Museum,United Kingdom
Atholl Palace Museum,United Kingdom
Attenborough Building,United Kingdom
Atwell-Wilson Motor Museum,United Kingdom
Auchindrain Museum,United Kingdom
Aughakillymaude Mummers Centre,United Kingdom
Austins,United Kingdom
Automobilia Motor Museum,United Kingdom
Automobilia Transport Museum,United Kingdom
Avebury and Associated Monuments,United Kingdom
Avery Historical Museum,United Kingdom
Avon Aqueduct,United Kingdom
Avon Tyre Museum,United Kingdom
Avoncroft Museum of Historic Buildings,United Kingdom
Avonmouth Bridge,United Kingdom
Avro Heritage Museum,United Kingdom
Axe Valley Heritage Museum,United Kingdom
Aycliffe and District Bus Preservation Society,United Kingdom
Ayresome Park,United Kingdom
B of the Bang,United Kingdom
BD1 Gallery,United Kingdom
BT Museum,United Kingdom
BT Tower,United Kingdom
"Bachelors' Club, Tarbolton",United Kingdom
Bacup Natural History Society And Museum,United Kingdom
Baglioni Hotel,United Kingdom
Baird Institute,United Kingdom
Baird Museum of TV,United Kingdom
Baitul Futuh,United Kingdom
Baker Street tube station,United Kingdom
Bakerloo line,United Kingdom
Balfour Museum of Hampshire Red Cross History,United Kingdom
Balham tube station,United Kingdom
Ballance House,United Kingdom
Ballochmyle Viaduct,United Kingdom
Ballycastle Museum,United Kingdom
Balmoral Castle,United Kingdom
Baltic Centre for Contemporary Art,United Kingdom
Bamburgh Castle Aviation Artefacts Museum,United Kingdom
Banchory Museum,United Kingdom
Bancroft Shed,United Kingdom
Banff Museum,United Kingdom
Banham International Motor Museum,United Kingdom
"Bank Mill tower 15a, 250m north west of Belmont House, part of the Roman frontier defences along the Cumbrian coast",United Kingdom
Bank and Monument stations,United Kingdom
Bann Valley Heritage,United Kingdom
Banna,United Kingdom
"Bannockburn, New Road, Bannock Burn, New Road Bridge",United Kingdom
Banwell Museum,United Kingdom
Barbican Estate,United Kingdom
Barbican tube station,United Kingdom
Bargate Guildhall Museum,United Kingdom
Barking station,United Kingdom
Barkingside tube station,United Kingdom
Barmouth Bridge,United Kingdom
Barmouth Rnli Museum,United Kingdom
Barmouth Sailors' Institute,United Kingdom
Barn Museum,United Kingdom
Barnes Museum of Cinematography,United Kingdom
Barnes Railway Bridge,United Kingdom
Barnsley Town Hall,United Kingdom
Barometer World,United Kingdom
Barons Court tube station,United Kingdom
Barony Chambers Museum,United Kingdom
Barr Castle Museum,United Kingdom
Barra Heritage & Cultural Centre,United Kingdom
Barrack Street Museum,United Kingdom
Barrhead Museum,United Kingdom
Barrow-in-Furness Town Hall,United Kingdom
Barry War Museum,United Kingdom
Barton Road Swing Bridge,United Kingdom
Barton Seagrave Hall,United Kingdom
Barton Swing Aqueduct,United Kingdom
Basing House,United Kingdom
Basketball Arena,United Kingdom
Bath,United Kingdom
Bath Abbey,United Kingdom
Bath Abbey Heritage Vaults,United Kingdom
Bath Aqua Theatre of Glass,United Kingdom
Bath Carriage Museum,United Kingdom
Bath Easton Museum,United Kingdom
Bath Medical Museum,United Kingdom
Bath Postal Museum,United Kingdom
Batley Art Gallery,United Kingdom
Battersea Bridge,United Kingdom
Battersea Power Station,United Kingdom
Battersea Railway Bridge,United Kingdom
Battle Museum of Local History,United Kingdom
Battle of Prestonpans Jacobite Museum,United Kingdom
Battlesbridge Motorcycle Museum,United Kingdom
Bawdsey Radar,United Kingdom
Bay Museum,United Kingdom
Bayle Museum,United Kingdom
Bayswater tube station,United Kingdom
Beach Lighthouse,United Kingdom
Beacon Tower,United Kingdom
Beaminster Museum,United Kingdom
Bean Burn 1 Roman temporary camp,United Kingdom
Bean Burn 2 Roman temporary camp,United Kingdom
Beaney House of Art and Knowledge,United Kingdom
Bear Gardens Museum,United Kingdom
Bear Museum,United Kingdom
Beauchief Abbey,United Kingdom
Beaulieu Abbey And Display Of Monastic Life,United Kingdom
Beaumont motte castle and section of Hadrian's Wall in wall mile 70 including turret 70a,United Kingdom
Beccles and District Museum,United Kingdom
Beck Isle Museum,United Kingdom
Beckfoot Bridge,United Kingdom
Beckfoot Roman fort,United Kingdom
Beckfords Tower And Museum,United Kingdom
Becontree tube station,United Kingdom
Bedale Museum,United Kingdom
Beddington Zero Energy Development,United Kingdom
Bedford Museum,United Kingdom
Bedfordshire And Hertfordshire Regiment Museum,United Kingdom
Bedwyn Stone Museum,United Kingdom
Beechin Wood Archery Museum,United Kingdom
"Beetham Tower, Liverpool",United Kingdom
Beggarpath Bridge,United Kingdom
Belfast Castle,United Kingdom
Belfast City Hall,United Kingdom
Belfast City Hall Visitor Exhibition,United Kingdom
Belfast City Hospital,United Kingdom
Belford Hidden History Museum,United Kingdom
Bell Rock Lighthouse,United Kingdom
Bellaghy Bawn,United Kingdom
Bellarmine Museum,United Kingdom
Belleek Pottery Visitor Centre Museum,United Kingdom
Belmont transmitting station,United Kingdom
Belper North Mill,United Kingdom
Belsize Park tube station,United Kingdom
Benburb Priory Library and Museum,United Kingdom
Bennie Museum,United Kingdom
Bentwaters Cold War Museum,United Kingdom
Berkshire & Westminster Dragoons Museum,United Kingdom
Berkshire Library & Museum of Freemasonry,United Kingdom
Berkshire Medical Heritage Centre Museum,United Kingdom
Berkshire Yeomanry Museum,United Kingdom
Berkswell Village Museum,United Kingdom
Bermondsey tube station,United Kingdom
Bermuda Railway,United Kingdom
Bernera Museum,United Kingdom
Berry Head House,United Kingdom
Bersham Colliery Museum,United Kingdom
Bersham Ironworks and Heritage Centre,United Kingdom
Berwick Barracks,United Kingdom
Berwick Gaol Museum,United Kingdom
Berwick Tunnel,United Kingdom
Beside The Seaside Museum,United Kingdom
Beswick Museum,United Kingdom
Bethlem Museum of the Mind,United Kingdom
Betws-y-Coed Motor Museum,United Kingdom
Bewcastle Museum,United Kingdom
"Bewcastle Roman fort, high cross shaft in St Cuthbert's churchyard, and Bew Castle medieval shell keep castle",United Kingdom
Bewdley Bridge,United Kingdom
Bewdley Museum,United Kingdom
Bexhill Costume And Social History Museum,United Kingdom
Bexley Museum,United Kingdom
Bicton Park Countryside Museum,United Kingdom
Bideford Long Bridge,United Kingdom
Big Bridge,United Kingdom
Big Four Railway Museum & Model Centre,United Kingdom
Biggar Albion Museum,United Kingdom
Biggar Gasworks Museum,United Kingdom
Biggin Hill Memorial Museum,United Kingdom
"Biglands House (milefortlet 1) and associated parallel ditches, part of the Roman frontier defences along the Cumbrian coast",United Kingdom
Billingham Art Gallery,United Kingdom
Bilsdale transmitting station,United Kingdom
Bilsthorpe Heritage Museum,United Kingdom
Bilston Craft Gallery,United Kingdom
Bingley Five Rise Locks,United Kingdom
Birchills Canal Museum,United Kingdom
Birmingham Airport,United Kingdom
Birmingham Assay Office,United Kingdom
Birmingham Central Library,United Kingdom
Birmingham Town Hall,United Kingdom
Bishop Bonners Cottage Museum,United Kingdom
Bishop Rock Lighthouse,United Kingdom
Bishops Castle Railway Museum,United Kingdom
Bishops Stortford Local History Museum,United Kingdom
Bishops Stortford Museum,United Kingdom
Bishops Waltham Museum,United Kingdom
Bishopsteignton Museum of Rural Life,United Kingdom
Bispham Parish Church,United Kingdom
Bitterne Local History Society Heritage And Research Centre,United Kingdom
Black And White House Museum,United Kingdom
Black Potts Railway Bridge,United Kingdom
Black Watch Regimental Museum,United Kingdom
Blackburn Museum and Art Gallery,United Kingdom
Blacked-out Britain War Museum,United Kingdom
Blackfriars Bridge,United Kingdom
Blackfriars Railway Bridge,United Kingdom
Blackfriars station,United Kingdom
Blackgang Sawmill Museum,United Kingdom
Blackpool Airport,United Kingdom
Blackpool Tower,United Kingdom
Blackridge Community Museum,United Kingdom
Blackwall DLR station,United Kingdom
Blackwall Tunnel (eastern),United Kingdom
Blackwall Tunnel (western),United Kingdom
Blackwater Valley Museum,United Kingdom
Blaenavon Community Heritage & Cordell Museum,United Kingdom
Blaenavon Industrial Landscape,United Kingdom
Blaenavon Ironworks,United Kingdom
Blaenplwyf transmitting station,United Kingdom
Blairs College,United Kingdom
Blandford Fashion Museum,United Kingdom
Blaydon Bridge,United Kingdom
"Blazes, The Fire Museum",United Kingdom
Blenheim Palace,United Kingdom
Blessingbourne Carriage And Costume Museum,United Kingdom
Bletchley Flyover,United Kingdom
Blindiana Museum,United Kingdom
Blisworth Tunnel,United Kingdom
"Blitterlees (milefortlet 12), part of the Roman frontier defences along the Cumbrian coast",United Kingdom
Blitz and Pieces,United Kingdom
Bloomfield Road,United Kingdom
Blue Bridge,United Kingdom
Bluetown Heritage Centre,United Kingdom
Bodeilio Weaving Centre,United Kingdom
Bodiam Castle,United Kingdom
Bodie Creek Suspension Bridge,United Kingdom
Bognor Regis Museum,United Kingdom
Boleyn Ground,United Kingdom
Bollington Discovery Centre,United Kingdom
Bomber County Aviation Museum,United Kingdom
Bond Museum,United Kingdom
Boness Motor Museum,United Kingdom
Boomby Lane 1 and 2 Roman temporary camps,United Kingdom
Boothby Roman fort,United Kingdom
Bootle Museum And Art Gallery,United Kingdom
Borders Textile Towerhouse,United Kingdom
Borough Market Viaduct,United Kingdom
Borreraig Park Museum,United Kingdom
Borth Station Museum,United Kingdom
Boston Manor tube station,United Kingdom
Boswell Museum & Mausoleum,United Kingdom
Bottisham Airfield Museum,United Kingdom
Boundary Park,United Kingdom
Bounds Green tube station,United Kingdom
Bourne End Railway Bridge,United Kingdom
Bournemouth Natural Science Society Museum,United Kingdom
Bournemouth Pier,United Kingdom
Bournemouth Town Hall,United Kingdom
Bournemouth Transport Museum,United Kingdom
"Bow Bridge, Cumbria",United Kingdom
Bow Church,United Kingdom
Bow Road tube station,United Kingdom
Bowes Railway,United Kingdom
Bowleaze Cove to Peveril Point,United Kingdom
Box Tunnel,United Kingdom
Boxing Museum,United Kingdom
Boys Brigade Heritage Museum,United Kingdom
Bradford Cathedral,United Kingdom
Bradford City Hall,United Kingdom
Bradford On Avon Museum,United Kingdom
Bradford Police Museum,United Kingdom
Brading Waxworks,United Kingdom
Bradwell Bay Military & Science Museum,United Kingdom
Bradworthy Transport Museum,United Kingdom
Braemar Castle,United Kingdom
Braemar Highland Games Centre,United Kingdom
Bramah Tea and Coffee Museum,United Kingdom
Brampton Grange,United Kingdom
Brampton Museum,United Kingdom
Brampton Old Church Roman fort and the medieval Church of St Martin,United Kingdom
Brander Museum,United Kingdom
Brattle Farm Museum,United Kingdom
Braunstone Gate Bridge,United Kingdom
Braunton and District Museum,United Kingdom
Breamish Valley Archaeology Exhibition,United Kingdom
Brechin Museum,United Kingdom
Brecknock Museum and Art Gallery,United Kingdom
Brent Cross tube station,United Kingdom
Brent Museum and Archives,United Kingdom
Brenzett Aeronautical Museum,United Kingdom
Bressingham Steam and Gardens,United Kingdom
Brewery Farm Museum,United Kingdom
Bridge of Aspiration,United Kingdom
Bridge of Dee,United Kingdom
Bridge of Feugh,United Kingdom
Bridge of Oich,United Kingdom
Bridge of Sighs,United Kingdom
"Bridge, Bridge Street, Cruden Bay",United Kingdom
Bridgegate,United Kingdom
Bridgeton Bus Garage,United Kingdom
Bridgewater Place,United Kingdom
Bridlington Harbour Heritage Museum,United Kingdom
Brig o' Balgownie,United Kingdom
Brig o' Doon,United Kingdom
Brighstone Village Museum,United Kingdom
Bright Water Visitor Centre,United Kingdom
Brighton And Hove Albion Football Club Museum,United Kingdom
Brighton Motor Museum,United Kingdom
Brighton Pier,United Kingdom
Brighton Transport Museum,United Kingdom
Brindley Mill And James Brindley Museum,United Kingdom
Bristol Cathedral,United Kingdom
Bristol City Museum and Art Gallery,United Kingdom
Britannia Bridge,United Kingdom
Britannia Museum,United Kingdom
Britannia Stadium,United Kingdom
British Balloon Museum & Library Ltd,United Kingdom
British Commercial Vehicle Museum,United Kingdom
British Cured Pilchards Ltd,United Kingdom
British Cycling Museum,United Kingdom
British Empire and Commonwealth Museum,United Kingdom
British Engineerium,United Kingdom
British Golf Museum,United Kingdom
British Heritage Exhibition,United Kingdom
British Ironworks Centre & Shropshire Sculpture Park,United Kingdom
British Lawnmower Museum,United Kingdom
British Library,United Kingdom
British Magic Museum,United Kingdom
British Motor Museum,United Kingdom
British Museum,United Kingdom
British Museum (Natural History). Department of Botany.,United Kingdom
British Museum Department of Coins and Medals,United Kingdom
British National Fencing Museum,United Kingdom
British Photographic Museum,United Kingdom
British Tattoo History Museum,United Kingdom
British Vintage Wireless And Television Museum,United Kingdom
Brixham Battery Museum,United Kingdom
Brixton tube station,United Kingdom
Bro Aman Museum,United Kingdom
Broadfield House Glass Museum,United Kingdom
Broadgate Tower,United Kingdom
Broadway Museum & Art Gallery,United Kingdom
Bromley-by-Bow tube station,United Kingdom
Bronte Interpretive Centre,United Kingdom
Brookeborough Vintage Cycles Museum,United Kingdom
Brooks Collectables And Museum,United Kingdom
Broomfield House Museum,United Kingdom
Brown Dikes Roman temporary camp,United Kingdom
Brown Moor Roman temporary camp,United Kingdom
"Brownrigg North tower 21b, 830m north west of Canonby Hall, part of the Roman frontier defences along the Cumbrian coast",United Kingdom
"Brownrigg milefortlet 22, 800m north east of the Cemetery Chapel, part of the Roman frontier defences along the Cumbrian coast",United Kingdom
Broxburn Community Museum,United Kingdom
Bruce Tunnel,United Kingdom
Brunel Museum,United Kingdom
Brunswick Centre,United Kingdom
Bruntingthorpe Aircraft Museum,United Kingdom
Brydekirk Bridge,United Kingdom
Bryn-Eithyn Hall Folk Museum,United Kingdom
"Bryneglwys Slate Quarry, Abergynolwyn Village and the Talyllyn Railway",United Kingdom
Brynglas Tunnels,United Kingdom
Buchanan Street subway station,United Kingdom
Buckhaven Museum,United Kingdom
Buckie & District Fishing Heritage Centre,United Kingdom
Buckingham Baptist Chapel,United Kingdom
Buckingham Movie Museum,United Kingdom
Buckingham Palace,United Kingdom
"Buckley Library, Museum and Gallery",United Kingdom
Bung Chapel Museum,United Kingdom
Bungay Museum,United Kingdom
Burgess Hill Museum,United Kingdom
"Burgh by Sands Roman fort, Beaumont camp, Burgh Castle & Hadrian's Wall from boundary west of churchyard, Beaumont to Burgh Head in wall miles 70 and",United Kingdom
Burnhead Roman temporary camp,United Kingdom
Burns House Museum and Library,United Kingdom
Burns Monument Centre,United Kingdom
Burnt Oak tube station,United Kingdom
Burntisland Museum,United Kingdom
Burrow Walls Roman fort,United Kingdom
Burrows Toy Museum,United Kingdom
Bursledon Brickworks Industrial Museum,United Kingdom
Burston Strike School Museum,United Kingdom
Burton Museum,United Kingdom
Butcher Row House Museum,United Kingdom
Bute Building,United Kingdom
Butterfly Bridge,United Kingdom
Buxton Motor Museum,United Kingdom
Bwlch Farm Museum,United Kingdom
Bygones,United Kingdom
Bygones Museum,United Kingdom
Bygones at Holkham Park,United Kingdom
Byker Bridge,United Kingdom
Byker Viaduct,United Kingdom
CIS Tower,United Kingdom
Cae Dai Trust Museum,United Kingdom
Caerleon Bridge,United Kingdom
Caerleon Roman Fortress and Baths,United Kingdom
Caernarfon Castle,United Kingdom
Caernarfon Castle and Town Walls,United Kingdom
Caernarfon Maritime Museum,United Kingdom
Caerphilly Castle,United Kingdom
"Cairndow, River Fyne Bridge",United Kingdom
Cairngorm Mountain Railway,United Kingdom
Caithness Broch Centre,United Kingdom
Calbourne Water Mill And Rural Museum,United Kingdom
Calderdale Industrial Museum,United Kingdom
Caldicot Castle Museum,United Kingdom
Caledonian Canal,United Kingdom
Caledonian Railway Bridge,United Kingdom
Callendar House,United Kingdom
Calleva Museum,United Kingdom
Calverton Folk Museum,United Kingdom
Camborne School Of Mines Geological Museum And Art Gallery,United Kingdom
Camborne and Redruth Mining District with Wheal Peevor and Portreath Harbour,United Kingdom
Cambridge Hotel,United Kingdom
"Cambus O' May, Suspension Bridge",United Kingdom
Camden Town tube station,United Kingdom
Camera Museum,United Kingdom
Campbeltown Heritage Centre,United Kingdom
Campbeltown Library and Museum,United Kingdom
"Campfield (tower 2b) & associated parallel ditches & Roman road, 350m south west of Campfield Farm part of Roman frontier defences along Cumbrian coas",United Kingdom
Canal Museum (Linlithgow),United Kingdom
"Canal Museum, Nottingham",United Kingdom
Canary Wharf,United Kingdom
Canary Wharf tube station,United Kingdom
Canna House,United Kingdom
Canning Town,United Kingdom
Cannon Hill Nature Centre & Museum,United Kingdom
Cannon Street Railway Bridge,United Kingdom
Canons Park tube station,United Kingdom
Canterbury Castle,United Kingdom
Canterbury Cathedral,United Kingdom
"Canterbury Cathedral, St Augustine's Abbey, and St Martin's Church",United Kingdom
Captain Cook's Schoolroom,United Kingdom
Captain Fawcett's Emporium Marvellous Barbershop Museum,United Kingdom
Caradon Hill transmitting station,United Kingdom
Caradon Mining District,United Kingdom
Cardiff Arms Park,United Kingdom
Cardiff Castle,United Kingdom
Cardiff Castle Museum,United Kingdom
Cardiff Crown Court,United Kingdom
Cardiff Market,United Kingdom
Cardiff Metropolitan Cathedral,United Kingdom
Cardigan Heritage Centre,United Kingdom
Cardinal O Fiaich Heritage Centre,United Kingdom
Cardinal Place,United Kingdom
Cardinal Telephone Exchange,United Kingdom
"Cardurnock (tower 4b) and earlier ditch system and patrol road, part of the Roman frontier defences along the Cumbrian coast",United Kingdom
Cardurnock Marsh turret 4a,United Kingdom
Cardurnock milefortlet (Mf 5),United Kingdom
Carew Cheriton Control Tower,United Kingdom
Carletons Cottage,United Kingdom
Carlisle Cathedral Treasury Museum,United Kingdom
Carlton House Terrace,United Kingdom
Carmarthen Town Museum,United Kingdom
Carnegie Inverurie Museum,United Kingdom
Carnegie Museum,United Kingdom
Carnon viaduct,United Kingdom
Carpetbagger Aviation Museum,United Kingdom
Carrawburgh Roman fort and Hadrian's Wall and vallum,United Kingdom
Carrickfergus Museum,United Kingdom
Carron Row Farm Museum,United Kingdom
Carrow Road,United Kingdom
Carvoran Roman fort and Hadrian's Wall and vallum between the unclassified road to Old Shield & the field boundary west of the fort in wall miles 45 &,United Kingdom
Castle Combe Museum,United Kingdom
Castle Donington Museum,United Kingdom
Castle Douglas Art Gallery,United Kingdom
Castle Farm Folk Museum,United Kingdom
"Castle Hotel, Ruthin",United Kingdom
Castle House Museum,United Kingdom
Castleford Forum Museum,United Kingdom
Castles and Town Walls of King Edward in Gwynedd,United Kingdom
Castlesteads Roman fort and the vallum between the track to the east of Castlesteads fort and the Cam Beck in the west,United Kingdom
Castleton Village Museum,United Kingdom
Cat Museum,United Kingdom
Catalyst Science Discovery Centre,United Kingdom
Cateran Ecomuseum,United Kingdom
Cathedral Green Footbridge,United Kingdom
Cathedral of St John the Evangelist,United Kingdom
Causeway School Museum,United Kingdom
Causey Arch,United Kingdom
Cave Museum,United Kingdom
Caversham Bridge,United Kingdom
Cawfields,United Kingdom
Cefn Coed Colliery Museum,United Kingdom
Cefn Mawr and District Museum,United Kingdom
Celtic Park - The Visitor Experience,United Kingdom
Cenarth Fishing Museum,United Kingdom
Central Park tram stop,United Kingdom
Central Saint Martins Museum & Study Collection,United Kingdom
Central Station,United Kingdom
Central line,United Kingdom
Centre Point,United Kingdom
Centre for Alternative Technology,United Kingdom
Centre for Life,United Kingdom
Ceramica,United Kingdom
Chain Bridge Forge Museum,United Kingdom
Chain Bridge Honey Farm,United Kingdom
Chalk Farm tube station,United Kingdom
Challenge at Aldershot (Military & Aerospace Museums),United Kingdom
Channel Tunnel,United Kingdom
Chapel Rigg Roman temporary camp,United Kingdom
Chapter Spitalfields,United Kingdom
Chard Plumbing Museum,United Kingdom
Charing Cross railway station,United Kingdom
Charles Dickens Birthplace Museum,United Kingdom
Charlton Athletic Museum,United Kingdom
Charmouth Heritage Coast Centre,United Kingdom
Chartered Insurance Institute Museum,United Kingdom
Charterhouse School Museum,United Kingdom
Chatsworth House,United Kingdom
Chatteris Museum,United Kingdom
Chatterley Whitfield Mining Museum,United Kingdom
Cheddar Caves And Gorge - Museum of Prehistory,United Kingdom
Chelsea Stadium Tour And Museum,United Kingdom
Cheltenham College Museum,United Kingdom
Chertsey Bridge,United Kingdom
"Chesil, the Fleet and Portland Coast",United Kingdom
Chester Castle,United Kingdom
Chester Motor Museum,United Kingdom
Chester Roman Amphitheatre,United Kingdom
Chesters Pike Roman temporary camp,United Kingdom
Chesters Roman Fort And Museum,United Kingdom
Cheviot Museum And Field Centre,United Kingdom
Chichester Cathedral Treasury,United Kingdom
Chideock and Seatown Museum,United Kingdom
Chigwell,United Kingdom
Chiltern Open Air Museum,United Kingdom
Chiltern Sound Phonograph Museum,United Kingdom
Chimney Pot Museum,United Kingdom
Chippenham Museum And Heritage Centre,United Kingdom
Chipping Norton Museum of Local History,United Kingdom
Chirk Aqueduct,United Kingdom
Chirk Castle Museum,United Kingdom
Chiseldon Museum,United Kingdom
Chiswick Park tube station,United Kingdom
Chobham Museum,United Kingdom
Christ Church Cathedral,United Kingdom
Christ Church Greyfriars,United Kingdom
Christchurch Tricycle Museum,United Kingdom
Christian Heritage Museum,United Kingdom
Christs Hospital School Museum,United Kingdom
Church Cottage,United Kingdom
Church Farmhouse Museum,United Kingdom
Church of St John the Baptist,United Kingdom
Church of St Mary,United Kingdom
Church of St Thomas of Canterbury,United Kingdom
"Church of St. Walburge, Preston",United Kingdom
Church of the Assumption of Our Lady,United Kingdom
Churchill House Museum & Hatton Gallery,United Kingdom
Chwarel Wynne Slate Mine And Museum,United Kingdom
Cilcewydd Railway Bridge,United Kingdom
Cilgwrgan Bridge,United Kingdom
Cinderbury Iron Age Experience,United Kingdom
Cinema Museum,United Kingdom
Cineworld Glasgow Renfrew Street,United Kingdom
Circle line,United Kingdom
"City And County Museum, Lincoln",United Kingdom
City Ground,United Kingdom
City Hall,United Kingdom
City Museum,United Kingdom
City of Manchester Stadium,United Kingdom
CityPoint,United Kingdom
Clachan Bridge,United Kingdom
Clackmannanshire Bridge,United Kingdom
Clacton Pier,United Kingdom
Claerwen Dam,United Kingdom
Clan Armstrong Trust Museum And Centre,United Kingdom
