hotel_id,name,description
28214174h,Hampton by Hilton Newcastle,"hotel in Newcastle upon Tyne, United Kingdom"
26609450h,Crosby Lodge,"house in Stanwix Rural, Carlisle, Cumbria, UK"
26878946h,Hilton Sukhumvit Bangkok,"hotel in Bangkok, Thailand"
26483035h,"14 and 15, Warwick Road","pair of houses, now hotel and office, in Stratford-upon-Avon, Warwickshire, England, UK"
26684094h,"12 and 13, Warwick Road","pair of houses, now part of a hotel, in Stratford-upon-Avon, Warwickshire, England, UK"
26723836h,De Gamlas Hem,"building in Oulu, Finland"
27825013h,Hilton Frankfurt City Centre,"hotel in Frankfurt am Main, Germany"
27981667h,Hilton Garden Inn Dubai Mall of the Emirates,"hotel in Dubai, United Arab Emirates"
26463120h,13 Market End,"part of the White Hart Hotel in Coggeshall, Essex, England, UK"
28192892h,Waldorf Astoria Beijing,"building in Beijing, China"
26306764h,The Mytton and Mermaid Hotel,"house in Atcham, Shropshire, UK"
26685058h,15 Market End,"part of the White Hart Hotel in Coggeshall, Essex, England, UK"
28184310h,Noccundra Hotel,"heritage-listed hotel at Wilson Street, Noccundra in Nockatunga, Shire of Bulloo, Queensland, Australia"
28053246h,Hilton Auckland,"hotel in Auckland, New Zealand"
28662736h,"Gran Vía 22, Madrid","building in Madrid, Spain"
26707727h,Hotel Santo Mauro,building in Madrid
27033712h,"The Morrison Dublin, Curio Collection by Hilton","hotel in Dublin, Ireland"
28184307h,Royal Mail Hotel,"heritage-listed hotel at Archernar Street, Hungerford, Shire of Bulloo, Queensland, Australia"
27456363h,DoubleTree by Hilton Gurugram Baani Square,"hotel in Gurugram, India"
26700322h,Hotel Omni Mont-Royal,"high-rise hotel in Downtown Montreal, Quebec, Canada"
26398842h,The Old Hall Hotel,"house in Coventry, West Midlands, UK"
26960663h,Hampton by Hilton Bournemouth,"hotel in Bournemouth, United Kingdom"
26546731h,Mosborough Hall,"house in Sheffield, South Yorkshire, UK"
26537718h,Dove Nest,"house in Lakes, South Lakeland, Cumbria, UK"
28456180h,Makkah Millennium Hotel,"hotel in Mecca, Saudi Arabia"
26734729h,Conrad Istanbul Bosphorus,Luxury hotel in Istanbul
26902701h,Hilton Helsinki Kalastajatorppa,"hotel in Helsingfors, Finland"
6109260h,JW Marriott San Francisco Union Square,building in the United States
6109264h,JW Marriott Las Vegas,"resort casino in Summerlin, Nevada"
6108856h,JR Central Towers,"building in Nagoya, Aichi Prefecture, Japan"
2905596h,The Blackstone Hotel,"hotel in Chicago, Illinois"
2902501h,Palatin Hotel Tel Aviv,"building in Tel Aviv, Israel"
2961297h,Chartreuse du Reposoir,"Carthusian monastery located in Haute-Savoie, in France"
2908788h,Leonardo City Tower Hotel,building in Israel
2992084h,Hilton Paris Opera,"hotel in Paris, France"
3142395h,Hyatt Regency Paris Etoile,"skyscraper hotel located near the Porte Maillot in the 17th arrondissement of Paris, France"
2912992h,The Harmon,demolished Las Vegas hotel
2971063h,Taagepera Castle,"manor house in Taagepera, Valga County, Estonia"
3037053h,Hilton Athens,"hotel in Athens, Greece"
2935180h,Camlin Hotel,"hotel in Seattle, now a timeshare"
2928530h,Cadillac Hotel,"historic U.S. hotel in Miami Beach, Florida"
6058109h,Antiguo Hotel Miramar,"building in Málaga Province, Spain"
5911415h,Hilton Podgorica Crna Gora,"hotel in Podgorica, Montenegro"
5918301h,Banitaba House,"mansion in Aran va Bidgol, Iranian national heritage site"
5878173h,Malekzadeh House (Yazd),"mansion in Yazd, Iranian national heritage site"
5903404h,Hotel Málaga Palacio,"building in Málaga Province, Spain"
5912133h,"Hagia Sofia Mansions Istanbul, Curio Collection by Hilton","hotel in Sultanahmet, Istanbul"
5894717h,Dr. Hojjat House,"mansion in Yazd, Iranian national heritage site"
5885917h,Kasra Vafadari House,"mansion in Yazd, Iranian national heritage site"
5907540h,Aminabad Caravanserai,"caravanserai in Shahreza County, Iranian national heritage site"
5891776h,Moshir Garden,"garden in Yazd, Iranian national heritage site"
5785660h,Convento Dominico de Nuestra Señora de la Consolación,"cultural property in Gotor, Spain"
5872085h,Flour factory San José,"building in Toledo, Spain"
5952911h,Hyatt Regency San Francisco,"hotel in San Francisco, California"
5901285h,Alafchian House,"mansion in Isfahan, Iranian national heritage site"
6044861h,"InterContinental Chicago Magnificent Mile, an IHG Hotel","4-star hotel in Chicago's Magnificent Mile, part of IHG Hotels"
5884157h,Khoshnevis Mansion,"mansion in Mehriz, Iranian national heritage site"
5892374h,Moshir Caravanserai,"caravanserai in Yazd, Iranian national heritage site"
5903511h,"Hotel de las Letras, Madrid","building in Madrid, Spain"
5911169h,Hotel Alder,"historic hotel building in Portland, Oregon, USA"
5920727h,Manuchehri House (Kashan),"mansion in Kashan, Iranian national heritage site"
5908224h,Shah Abbasi Caravanserai of Bisotun,"caravanserai in Bisotun, Iranian national heritage site"
5883194h,Qorban Alizadeh House,"mansion in Kashan, Iranian national heritage site"
5963275h,Ehsan House (Kashan),"mansion in Kashan, Iranian national heritage site"
2398831h,Teatro Eden,"former cinema in Lisbon, Portugal"
2899830h,Hilton The Hague,"hotel in The Hague, Netherlands"
2416198h,MGM Grand Detroit,"Detroit, Michigan, opened 2007"
2837946h,Allerton Hotel,"hotel skyscraper in Chicago, Illinois"
2631856h,520 West 41st Street,"proposed building in Manhattan, New York City"
2461831h,Las Vegas Plaza,cancelled hotel and casino resort in Nevada
2567200h,The Whittier,"apartment hotel in Detroit, Michigan"
2748565h,Claridge's,"hotel in Mayfair, London, England"
2297323h,Delano Las Vegas,"hotel in Las Vegas, Nevada"
2363048h,Place Viger,"former railway station and hotel in Montreal, Canada"
2579998h,Castle of Óbidos,Medieval Castle in Portugal
2523683h,Château d'Artigny,building in France
2258969h,Eureka Inn,"hotel in Eureka, California"
2648096h,W San Francisco,"high-rise boutique hotel in San Francisco, California"
691491h,Paris Las Vegas,hotel and casino located on the Las Vegas Strip
731089h,Willard InterContinental Washington,"hotel in Washington, DC"
737602h,Aspire Tower,"skyscraper hotel located in the Aspire Zone complex in Doha, Qatar"
696927h,Oheka Castle,"mansion in Huntington, New York, USA"
713960h,MGM Grand Las Vegas,"casino resort in Las Vegas, Nevada, USA"
168575h,CTF Finance Centre,"supertall skyscraper in Guangzhou, China"
189476h,Abraj Al Bait,"building complex in Mecca, Saudi Arabia"
145361h,Gezirah Palace,palace in Egypt
25007h,Bellagio Hotel & Casino,"luxury hotel and casino in Las Vegas, Nevada"
167870h,Boardwalk Hotel and Casino,skyscraper
15978898h,Berry Head House,"house in Brixham, Torbay, Devon, UK"
14683065h,"333 Battery Street, San Francisco,",hotel in San Francisco
16256099h,The Caledonian,"hotel in Edinburgh, Scotland, UK"
14705265h,Resorts World Las Vegas,"casino resort in Las Vegas, Nevada"
14753688h,"Casa Alberola Alicante, Curio Collection by Hilton","hotel in Alicante, Spain"
13529145h,"The Biltmore Mayfair, LXR Hotels & Resorts","hotel in Westminster, London, United Kingdom"
14954702h,107 Piccadilly,"building on Lena Street in Manchester, England"
15068974h,Zein-o-Din Caravanserai,"caravanserai in Mehriz County, Iranian national heritage site"
15923583h,Conrad Hong Kong,"hotel in Hong Kong, China"
12020416h,Hotel Paříž,building in Prague
12072758h,Westin Book Cadillac Hotel,skyscraper in Detroit
11700542h,Prince George Hotel,"building in Manhattan, New York, United States"
11415297h,JR Gate Tower,"skyscraper in Nakamura-ku, Nagoya"
13049756h,Canfranc-Estación,"human settlement in Canfranc, Huesca Province, Aragon, Spain"
14693298h,Magnolia Hotel,"hotel in Biloxi, Mississippi"
15909474h,Hengshan Picardie Hotel,"building in Xuhui, Shanghai, China"
14689609h,Jackson Hotel,"hotel building in Paola, Kansas"
15228738h,InterContinental Budapest,"hotel in Budapest, Hungary"
13529180h,Hilton London Hyde Park,"hotel in London, United Kingdom"
13103085h,Hôtel de Paris,Buildings in Luxembourg (City)
15640601h,Palacio del Marqués de Velada,"building in Province of Ávila, Spain"
4261094h,Downtown Grand Hotel & Casino,"casino hotel in Las Vegas, Nevada"
3699364h,Culver Hotel,"historical building in Culver City, California, US"
4261384h,Las Vegas Club,"former casino in Las Vegas, Nevada"
4793581h,Arminius Hotel,United States historic place
4792351h,Arlington Hotel,United States historic place
4791273h,Arizona Charlie's Boulder,"hotel and casino in Las Vegas, Nevada"
4260261h,Price Tower,"high-rise building in Bartlesville, Oklahoma, United States"
4272608h,Fairmont San Francisco,"historic hotel in San Francisco, California, United States"
4725573h,Aliante Casino and Hotel,"hotel and casino in North Las Vegas, Nevada"
4261374h,Suncoast Hotel and Casino,"casino hotel in Las Vegas, Nevada"
4806513h,Hilton Istanbul Bosphorus,"hotel in Istanbul, Turkey"
4479814h,West Baden Springs Hotel,"national historic landmark hotel in West Baden Springs, Orange County, Indiana"
4272804h,Breakers Hotel,luxury historic hotel
4596016h,1 Snow Hill Plaza,"highrise office building in Birmingham, England"
4385582h,Page-Walker Hotel,"historic house in North Carolina, United States"
4261513h,Grand Central Hotel,proposed hotel
4448816h,Tsukuba Center Building,"building in Tsukuba, Ibaraki Prefecture, Japan"
4040675h,Hilton Prague,"hotel in Karlín, Czech Republic"
7988923h,Westin San Francisco Market Street,hotel in San Francisco
7988926h,Westin St. Francis,"hotel in San Francisco, California"
17835167h,2 Tower Dykeside,"building in Scottish Borders, Scotland, UK"
18008489h,Torre del Remei,"rural building in Bolvir, Cerdanys, Catalonia"
280910h,Vdara,"resort in Las Vegas, Nevada"
278380h,The Drew Las Vegas,"casino resort in Las Vegas, Nevada"
306000h,Abbasi Hotel,"hotel in Isfahan, Iran"
280339h,Tropicana Las Vegas,"casino resort in Las Vegas, Nevada"
546221h,Trump International Hotel and Tower,"skyscraper condo-hotel in downtown Chicago, Illinois"
510121h,Schlosshotel Kronberg,"château in Kronberg im Taunus, Hesse, near Frankfurt am Main"
4949600h,Boulder Station,"hotel and casino in Sunrise Manor, Nevada, United States"
4979998h,Bryan Building,"building in Florida, United States"
4841991h,Baglioni Hotel,"hotel in London, England"
4822225h,Hilton Izmir,"hotel in Izmir, Turkey"
4842213h,Baha Mar,hotel and Casino
10526554h,Hotel Knaust,"hotel in Sundsvall, Sweden"
11330330h,Hilton Nagoya,4-star Hotel in Nagoya
11330332h,Hilton Odawara Resort & Spa,"hotel in Odawara, Japan"
11330335h,Hilton Tokyo Bay,"4-star hotel in Urayasu, Chiba prefecture, Japan"
10526572h,Hotel Billingen,"building in Skövde Municipality, Västra Götaland County, Sweden"
6824905h,Metropolis,"40-storey residential / hotel skyscraper in the Auckland CBD of Auckland, New Zealand"
7126178h,Palace Hotel Residential Tower,proposed residential skyscraper in San Francisco
6421328h,Han-Hsien International Hotel,"Hotel in Lingya District of Kaohsiung, Taiwan"
7247936h,Professional Building,building in Phoenix
6747847h,Mandarin Orchard Singapore,building complex
6172690h,Jeddah Hilton Hotel,"hotel in Jeddah, Saudi Arabia"
7216435h,Hilton Tel Aviv,"5-star hotel in Tel Aviv, Israel"
6825178h,Hilton Beirut Metropolitan Palace,"hotel in Beirut, Lebanon"
6439146h,Krrish Square,Mixed-use tower complex in Sri Lanka
6448583h,Vakil Caravanserai,"caravanserai in Kerman, Iranian national heritage site"
6493973h,Lassen Hotel,"hotel building in Wichita, Kansas"
6869131h,Minor Sod House,Historic house in Kansas
6538417h,Zargar Yazdi House,"mansion in Yazd, Iranian national heritage site"
6411467h,King Edward Hotel,"also known as Edwards Hotel, listed on the NRHP in Mississippi"
7203612h,Plaza Hotel & Casino,"casino hotel in Las Vegas, Nevada, United States"
6751307h,Manor Apartment Hotel,"Heritage listed hotel in Brisbane, Australia"
6914041h,Morrison Hotel,American skyscraper
7040843h,Nisiyama Onsen Keiunkan,"hot spring hotel in Hayakawa, Yamanashi Prefecture, Japan, Founded in 705 AD, it is the oldest hotel and one of the oldest companies in operation"
6747856h,Loews Regency San Francisco,hotel in San Francisco
6353197h,Han-Lai New World Center,skyscraper located in Cianjin
17834531h,1 Tower Knowe,"site of former hotel in Hawick Scottish Borders, Scotland, UK"
17444904h,DoubleTree by Hilton Hotel London - Docklands Riverside,hotel in London
16833188h,Lloyd-Bahnhof,"building in Bremen, Germany"
17229982h,Hilton Fukuoka Sea Hawk,"hotel in Fukuoka, Japan"
17549646h,"2, 3 and 4, Regency Square","houses in Brighton, UK"
17183802h,"Castle Hotel, Ruthin","pub in Ruthin, Wales"
16890775h,Crown Sydney,"building in Sydney, Australia completed in 2020"
17226268h,Hilton Tokyo,"hotel in Tokyo, Japan"
17444624h,Hilton Garden Inn Frankfurt Airport,"hotel at Frankfurt airport, Germany"
16621592h,Villa Torretta,"hotel in Sesto San Giovanni, Italy"
17390148h,Citadel of Cascais,"building in Cascais, Lisbon District, Portugal"
17534979h,5 and 7 High Street and Falcon Hotel Annexe,"building in Uppingham, Rutland, England, UK"
16995460h,Wyndham Springfield City Centre,"30-story hotel tower in Springfield, Illinois, USA"
17557267h,11 Market End,"part of the White Hart Hotel in Coggeshall, Essex, England, UK"
17043498h,Viciebsk,hotel
17619057h,Agronomitalo,building in Helsinki
17834566h,"Hawick, 3, 4 Tower Dykeside","architectural structure in Scottish Borders, Scotland, UK"
16949846h,B&O Railroad Headquarters Building,"historic mixed-use building in Baltimore, United States"
16843761h,Hilton Diagonal Mar Barcelona,"hotel in Barcelona, Spain"
17444603h,Hilton Frankfurt Airport,"hotel in Frankfurt am Main, Germany"
17834546h,"Hawick, 1 Tower Dykeside","architectural structure in Scottish Borders, Scotland, UK"
17533843h,Polebarn House,"building in Trowbridge, Wiltshire, United Kingdom"
17554574h,Fritton Old Hall,"building in Fritton, Great Yarmouth, Norfolk, United Kingdom"
16318627h,Abeno Harukas,skyscraper in Osaka
17512898h,Arlington Hotel,"Historic hotel in Paris, Ontario"
17793480h,Hilton Edinburgh Carlton,"hotel in Edinburgh, United Kingdom"
16528268h,Aquarium et Musée de la Mer de Dinard,"building in Dinard, France"
17532427h,Stanley House,"building in Mellor, Lancashire, United Kingdom"
17544934h,Barton Seagrave Hall,"country house hotel in Northamptonshire, United Kingdom"
10352195h,Convento dos Lóios,"building in Arraiolos, Évora District, Portugal"
10352207h,Antigo Convento do Desagravo do Santíssimo Sacramento,"building in Oliveira do Hospital, Coimbra District, Portugal"
10344021h,Palácio de Estói,"building in Faro, Faro District, Portugal"
10352202h,Capela e Hospital da Santa Casa da Misericórdia de Ourém,hospital in Portugal
10524047h,Hilton Stockholm Slussen,"hotel in Stockholm, Sweden"
10343928h,Palácio Belmonte,"building in Lisbon, Lisbon District, Portugal"
10352206h,Pousada de Viseu,hospital in Portugal
9294078h,Hilton Gdańsk,"hotel in Gdańsk, Poland"
9294080h,Hotel Jalta,hotel building in Prague
10352218h,Solar da Rede,"building in Mesãeso Frio, Vila Real District, Portugal"
9358597h,El Rancho Hotel and Casino,"hotel and casino in Nevada, United States"
10332618h,Mosteiro de Flor da Rosa,"building in Crato, Portalegre District, Portugal"
9054487h,Palácio do Freixo,"Nacional Monument in Porto, Portugal"
9871323h,Convento das Eremitas de Santo Agostinho,"building in Tavira Municipality, Faro District, Portugal"
10524043h,Hilton Nairobi,"hotel in Nairobi, Kenya"
10352219h,Convento dos Lóios,"building in Évora, Évora District, Portugal"
10352192h,Convento das Chagas (Vila Viçosa),"building in Vila Viçosa, Évora District, Portugal"
10352211h,Convento de Nossa Senhora da Boa Esperança,"building in Belmonte, Castelo Branco District, Portugal"
10352198h,Pousada de Condeixa-a-Nova,"building in Condeixa-a-Nova Municipality, Coimbra District, Portugal"
9294281h,Ameri House,"mansion in Kashan, Iran"
7969454h,Merdeka 118,"skyscraper under construction in Kuala Lumpur, Malaysia"
7988922h,Westin Las Vegas,"hotel in Nevada, United States"
779373h,The Linq,"casino resort in Las Vegas, Nevada"
739914h,Rio All-Suite Hotel and Casino,"casino hotel in Las Vegas, Nevada"
743147h,Hotel Negresco,hotel
804686h,Balboa Inn,hotel
752939h,RMS Queen Mary,Retired British ocean liner
654906h,Binion's Horseshoe,skyscraper
616726h,Hooters Casino Hotel,"casino hotel in Las Vegas, Nevada"
646339h,Hotel Torni,"historical hotel located in Helsinki, Finland"
637389h,Luxor Resort & Casino,hotel and casino in Las Vegas
634258h,Veer Towers,"condominium apartment complex in Las Vegas, Nevada"
656743h,Kingdom Centre,"Skyscraper in Riyadh, Saudi Arabia"
654279h,Aria Resort and Casino,"resort and casino in Las Vegas, Nevada"
1347033h,Dunes,hotel and casino in Las Vegas (1955-1993)
1324543h,El Rancho Hotel & Motel,hotel building in Gallup in United States of America
1368043h,Mandalay Bay,"casino resort in Las Vegas, Nevada"
1340365h,Westgate Las Vegas Resort & Casino,"casino resort in Las Vegas, Nevada"
1342565h,Planet Hollywood Resort & Casino,"casino resort in Las Vegas, Nevada"
1360313h,Treasure Island Hotel and Casino,"casino hotel in Las Vegas, Nevada"
1340132h,Encore,resort in Las Vegas
7745429h,The Landmark Hotel and Casino,"former casino hotel in Las Vegas, Nevada"
7756547h,The Peninsula Chicago,"luxury hotel in Chicago, Illinois"
7503956h,Shrigley Hall,"country house in Cheshire, UK"
7553769h,Pullman Bangkok Hotel G,"skyscraper in Bangkok, Thailand"
7336896h,Ritz-Carlton Chicago,"hotel in Chicago, United States"
7754900h,"The Old Rectory, St Columb Major","historic building in St. Columb Major, Cornwall, England"
7374338h,Royal Insurance Building,"building on North John Street, Liverpool, Merseyside, United Kingdom"
7774298h,The Western,"former hotel and casino in Las Vegas, Nevada"
7419570h,Santa Fe Station,"hotel and casino in Las Vegas, Nevada"
7736171h,The George Hotel,"hotel and former coaching inn in Crawley in West Sussex, England"
7281354h,Hilton Dubai Creek,"hotel in Dubai, United Arab Emirates"
7520490h,Simonsbath House,"house in Exmoor, West Somerset, Somerset, UK"
7720948h,The Cairo,"apartment building in Washington, D.C"
7575371h,Speech House,"building in West Dean, United Kingdom"
7553767h,DoubleTree by Hilton Hotel Shanghai - Pudong,"hotel in Shanghai, China"
7832418h,"The Trafalgar St. James London, Curio Collection by Hilton","hotel in London, United Kingdom"
7304924h,"Red Rock Casino, Resort & Spa","casino resort in Las Vegas, Nevada"
7591596h,St. Regis Museum Tower,"skyscraper in San Francisco, California"
7641354h,Sunset Station,"hotel and casino in Henderson, Nevada"
7730896h,The Drayton Court,public house and beer garden
7643550h,Superior Oil Company Building,"historic building, now hotel, in Los Angeles, California"
7553765h,Sofitel Chicago Water Tower,"building in Chicago, Illinois"
3281025h,APA Hotel & Resort Tokyo Bay Makuhari,"hotel in Mihama-ku, Chiba"
3359202h,Wyndham Grand İzmir Özdilek,"high-rise building in İzmir, Turkey"
3185653h,Joseph Smith Memorial Building,"historic building in Salt Lake City, Utah, United States"
3471438h,San Francisco Marriott Marquis,"known for its distinctive ""jukebox"" appearance"
3278286h,Main Street Station Hotel and Casino and Brewery,"hotel, casino and brewery in Las Vegas, Nevada"
3498798h,Hilton San Francisco Union Square,hotel in San Francisco
3153055h,InterContinental San Francisco,"hotel in San Francisco, California"
3482309h,Shiodome Media Tower,"building in Minato-ku, Tokyo, Japan"
3192583h,Kanayama Minami Building,"building in Nagoya, Aichi Prefecture, Japan"
3356472h,The Orleans,"casino hotel in Las Vegas, Nevada"
3414568h,Quinta das Lágrimas,"building or structure in Coimbra, Portugal"
3389734h,Place Bonaventure,"building in Quebec, Canada"
3533060h,Tour Duo,Two skyscrapers in Paris
3545225h,"Sam's Town Hotel and Gambling Hall, Las Vegas","casino hotel in Las Vegas, Nevada"
5230243h,Davenport Hotel,"hotel in Davenport, Iowa, United States"
5061223h,Central House Hotel,"Boscobel, Wisconsin, listed on the NRHP in Wisconsin"
5049621h,Castaways Hotel and Casino,"former casino resort in Las Vegas, Nevada"
5179785h,Coworth House,country house hotel
4999251h,Burlington Hotel,"hotel building in Alma, Wisconsin"
5049843h,Castle of Vila Nova de Cerveira,"building in Vila Nova de Cerveira Municipality, Viana do Castelo District, Portugal"
5189543h,Crowne Plaza Times Square,"hotel in New York City, United States"
5302326h,Dousman Hotel,"historic hotel located at the intersection of Fisher Street and River Road in Prairie du Chien, Wisconsin"
5049734h,Castle of Alcácer do Sal,"building in Alcácer do Sal, Setúbal District, Portugal"
