c_id,name,comment
233w,Malta,sovereign state in Southern Europe situated on an archipelago in the Mediterranean Sea
763w,Saint Kitts and Nevis,island sovereign state in the Caribbean Sea
235w,Monaco,sovereign city-state on the French Riviera
774w,Guatemala,sovereign state in Central America
766w,Jamaica,country in the Caribbean Sea
236w,Montenegro,country in southeastern Europe
781w,Antigua and Barbuda,island sovereign state in the Caribbean Sea
241w,Cuba,sovereign state situated on an island in the Caribbean Sea
792w,El Salvador,sovereign state in Central America
252w,Indonesia,country in Southeast Asia and Oceania
796w,Iraq,sovereign state in western Asia
810w,Jordan,country in Western Asia
811w,Nicaragua,sovereign state in Central America
262w,Algeria,country in North Africa
265w,Uzbekistan,sovereign state in Central Asia
813w,Kyrgyzstan,sovereign state in Central Asia
817w,Kuwait,sovereign state in Western Asia
298w,Chile,country in South America
826w,Maldives,"sovereign state in South Asia, situated on an archipelago in the Arabian Sea"
347w,Liechtenstein,country in Central Europe
833w,Malaysia,country in Southeast Asia
836w,Myanmar,sovereign state in Southeast Asia
398w,Bahrain,country in the Persian Gulf
837w,Nepal,country in South Asia
399w,Armenia,sovereign state in the South Caucasus region of Eurasia
843w,Pakistan,sovereign state in South Asia
403w,Serbia,country in southeastern Europe
851w,Saudi Arabia,country in Western Asia
874w,Turkmenistan,country in Central Asia
854w,Sri Lanka,country in South Asia
408w,Australia,country in Oceania
881w,Vietnam,country in Southeast Asia
917w,Bhutan,sovereign state in South Asia
574w,East Timor,sovereign state situated on several islands in Southeast Asia
419w,Peru,sovereign state in South America
921w,Brunei,sovereign state in Southeast Asia
414w,Argentina,sovereign state in South America
924w,Tanzania,country in East Africa
664w,New Zealand,island country in the southwest Pacific Ocean
928w,Philippines,sovereign state in Southeast Asia
948w,Tunisia,country in North Africa
668w,India,country in South Asia
686w,Vanuatu,country In Oceania
953w,Zambia,sovereign state in Southern Africa
954w,Zimbabwe,sovereign state in southern Africa
710w,Kiribati,island sovereign state in the central Pacific Ocean
958w,South Sudan,country in East Africa
963w,Botswana,sovereign state in Southern Africa
711w,Mongolia,country in East Asia
717w,Venezuela,sovereign state in northern South America
965w,Burkina Faso,sovereign state in Africa
750w,Bolivia,sovereign state in South America
967w,Burundi,sovereign state in Africa
983w,Equatorial Guinea,sovereign state in Africa
1006w,Guinea,sovereign state in West Africa
760w,Saint Lucia,island sovereign state in the Caribbean Sea
1008w,Ivory Coast,sovereign state in West Africa
769w,Grenada,island sovereign state in the Caribbean Sea
1009w,Cameroon,sovereign state in West Africa
778w,The Bahamas,island sovereign state in the West Indies
1011w,Cape Verde,sovereign state comprising ten islands off the Western coast of Africa
1013w,Lesotho,sovereign state in southern Africa
783w,Honduras,sovereign state in Central America
1020w,Malawi,sovereign state in Africa
1025w,Mauritania,sovereign state in West Africa and North Africa
784w,Dominica,island sovereign state in the Caribbean Sea
786w,Dominican Republic,island sovereign state in the Caribbean Sea
790w,Haiti,island sovereign state in the Caribbean Sea
1027w,Mauritius,island sovereign state off of Africa in the Indian Ocean
1029w,Mozambique,country in Southeastern Africa
800w,Costa Rica,country in Central America
1036w,Uganda,country in East-central Africa
1030w,Namibia,country in Southern Africa
794w,Iran,country in Western Asia
1037w,Rwanda,sovereign state in Africa
801w,Israel,country in Western Asia
1039w,São Tomé and Príncipe,island sovereign state in Africa
1041w,Senegal,country on the coast of West Africa
804w,Panama,sovereign state in Central America
1045w,Somalia,sovereign state in Africa
805w,Yemen,sovereign state in western Asia
1050w,Eswatini,sovereign state in southern Africa
3359409w,Micronesia,subregion of Oceania
842w,Oman,sovereign state in western Asia
819w,Laos,country in Southeast Asia
846w,Qatar,country in Western Asia
858w,Syria,sovereign state in western Asia
863w,Tajikistan,sovereign state in Central Asia
869w,Thailand,country in Southeast Asia
878w,United Arab Emirates,sovereign state in Southwest Asia
884w,South Korea,country in East Asia
889w,Afghanistan,country in Central and South Asia
902w,Bangladesh,country in South Asia
912w,Mali,country in West Africa
916w,Angola,sovereign state in Africa
929w,Central African Republic,country in Central Africa
945w,Togo,country in West Africa
962w,Benin,sovereign state in West Africa
970w,Comoros,sovereign state situated on an archipelago in the Indian Ocean off the eastern coast of Africa
977w,Djibouti,sovereign state in Africa
986w,Eritrea,country in the Horn of Africa
1000w,Gabon,equatorial country in West Africa
1005w,The Gambia,sovereign state in West Africa
1007w,Guinea-Bissau,sovereign state in Western Africa
1014w,Liberia,sovereign state in West Africa
1016w,Libya,sovereign state in north Africa
1032w,Niger,sovereign state in western Africa
1019w,Madagascar,"island sovereign state off the coast of Southeast Africa, in the Indian Ocean"
1033w,Nigeria,sovereign state in West Africa
1042w,Seychelles,island sovereign state off the eastern coast of Africa
1044w,Sierra Leone,sovereign state in West Africa
1049w,Sudan,country in Northeast Africa
22890w,Ireland,island in the North Atlantic Ocean
